FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2939531,Y,II,230.0,12913,6.5015058517456055,15.025705337524414,33.243473052978516,0.004956245643924727
2939531,Y,II,150.0,9022,4.871708393096924,11.712793350219727,39.828147888183594,0.006539569940146309
2939531,Y,II,74.0,4196,8.161491394042969,17.922910690307617,31.28360939025879,0.0009532888465204957
2939531,Y,II,9.0,507,14.821621894836426,25.08029556274414,29.908462524414062,0.0
2939942,N,II,20.0,1133,2.472254991531372,4.66312837600708,7.665797233581543,0.0
2939877,Y,II,41.2,2872,16.60580825805664,25.951459884643555,38.954586029052734,0.042827298050139274
2939703,N,II,26.0,1313,11.444711685180664,25.464603424072266,32.99317932128906,0.020563594821020565
2939589,Y,II,68.7,4173,23.62492561340332,36.71885299682617,51.02778244018555,0.3093697579678888
2939315,N,II,48.0,2872,12.939478874206543,23.927249908447266,38.50392532348633,0.03447075208913649
2939944,Y,II,69.2,6627,8.381223678588867,17.52829360961914,34.74098205566406,0.0025652633167345708
2939181,N,II,60.0,3678,6.337479591369629,11.436614036560059,36.29477310180664,0.02066340402392605
2940281,N,II,118.0,6578,1.6088502407073975,3.316157817840576,16.495147705078125,0.0
2940440,N,II,21.0,1116,13.41629695892334,23.075756072998047,30.339237213134766,0.0008960573476702509
2940068,N,II,7.9,527,5.833441257476807,7.980604648590088,10.148324966430664,0.0
2940925,Y,II,18.900000000000002,3851,15.585517883300781,25.11767578125,50.24350357055664,0.03349779278109582
2940152,Y,III,90.0,7241,16.543107986450195,27.816268920898438,40.121238708496094,0.06463195691202872
2940812,Y,II,37.300000000000004,2573,28.827518463134766,42.74903106689453,60.26346206665039,0.5102992615623786
2940012,Y,II,70.0,5311,23.827543258666992,38.34252166748047,52.34742736816406,0.2995669365467897
2940012,Y,II,94.0,5719,17.327587127685547,30.285104751586914,56.613037109375,0.10631229235880399
2940711,N,II,67.0,4417,13.674184799194336,20.244728088378906,35.39345932006836,0.001811184061580258
2940711,N,II,64.0,4161,13.260028839111328,20.0429630279541,42.99261474609375,0.012977649603460706
2940606,N,II,38.0,2216,1.7215176820755005,2.962132453918457,6.706255912780762,0.0
2940737,N,II,82.0,4694,7.255480766296387,21.930341720581055,52.42229080200195,0.05624201107797188
2940013,Y,III,58.800000000000004,2780,17.02638053894043,29.056236267089844,36.84574508666992,0.07553956834532374
2940013,Y,III,1.7,163,16.076488494873047,24.610090255737305,27.32794952392578,0.0
2940013,Y,III,6.3,414,10.599261283874512,16.454811096191406,33.966148376464844,0.004830917874396135
2940013,Y,III,18.3,1133,18.092567443847656,29.23482894897461,38.25663757324219,0.07413945278022947
