FP_ID,flag,acres,slope_mean,slope_p90,slope_max,frac_over_30
2917970,N,34.0,7.844864845275879,11.442910194396973,17.101181030273438,0.0
2921819,N,211.0,4.020524095405232,26.6514949798584,47.883758544921875,0.07556270096463022
2922208,N,117.0,2.3792654275894165,9.825428009033203,12.684931755065918,0.0
2923164,N,40.0,4.686924934387207,11.218342781066895,27.555471420288086,0.0
2923401,N,120.0,13.414385795593262,26.636804580688477,47.473976135253906,0.0595956547978274
2924311,N,15.0,1.6142547925313313,2.6803081035614014,4.725522518157959,0.0
2925172,N,12.0,6.120119094848633,8.401257514953613,16.601844787597656,0.0
2925807,N,11.0,1.1505370616912842,3.493298053741455,6.587766647338867,0.0
2926295,N,161.5,11.347044030825296,34.78510665893555,48.02247619628906,0.19498607242339833
2926757,N,70.0,16.742454528808594,30.523239135742188,40.05887985229492,0.10685805422647528
2927491,N,17.0,1.568661093711853,2.641322135925293,4.072713375091553,0.0
2928409,N,18.0,5.741465091705322,13.844470977783203,31.565874099731445,0.0017969451931716084
2928416,N,18.0,2.147265672683716,3.7269866466522217,6.221704006195068,0.0
2928423,N,18.0,1.7011768817901611,2.8626248836517334,5.205917835235596,0.0
2928443,N,110.0,1.083258867263794,2.1287803649902344,6.531158924102783,0.0
2929895,N,50.0,8.643874168395996,13.091774940490723,30.59096908569336,0.001303780964797914
2930551,Y,74.0,15.48273515701294,28.73627281188965,39.83402633666992,0.08
2932013,N,40.0,14.514305114746094,27.393590927124023,42.428348541259766,0.058136221145625534
2932404,Y,37.0,13.514865557352701,30.185213088989258,44.56624984741211,0.10262008733624454
2932504,Y,74.0,9.489815711975098,17.00681495666504,31.943077087402344,0.0012319063751154912
2934583,N,286.5,13.921350288391114,28.797197341918945,40.07236862182617,0.08571428571428572
2935743,N,39.0,12.314425468444824,18.00511932373047,29.0643310546875,0.0
2935770,Y,36.0,14.197834968566895,21.868263244628906,38.344356536865234,0.006283228612856452
2936128,Y,88.0,9.231399695078531,19.642499923706055,34.09294891357422,0.01266357112705783
2936236,N,163.0,7.5676575899124146,23.20083236694336,37.65763473510742,0.013906056860321385
2936255,Y,343.0,12.79224703993116,32.66874694824219,51.91233444213867,0.1519205869659042
2936503,N,27.0,8.421366453170776,15.70161247253418,22.741552352905273,0.0
2936825,Y,62.7,4.821714222431183,15.684062957763672,34.10842514038086,0.0062932662051604785
2936890,N,11.0,13.231488227844238,15.288887977600098,17.02054214477539,0.0
2937030,Y,371.0,15.528045495351156,39.39358901977539,45.81010055541992,0.5392798690671031
2937050,N,187.2,8.152360820770264,19.171892166137695,29.060697555541992,0.0
2937131,N,44.0,1.8646146059036255,3.847327709197998,8.809041976928711,0.0
2937329,Y,29.3,11.271642684936523,19.857532501220703,32.413490295410156,0.008542141230068337
2937833,Y,53.8,6.960488160451253,18.62944984436035,35.31255340576172,0.0033175355450236967
2938063,N,44.5,5.688291454315186,21.93708038330078,27.237091064453125,0.0
2938101,Y,88.5,31.654624938964844,41.93307876586914,62.52736282348633,0.6728811128639036
2938129,N,113.0,5.6628724336624146,16.435354232788086,52.20808410644531,0.026162111656155104
2938193,N,13.5,12.396477699279785,26.028718948364258,30.22968864440918,0.015037593984962405
2938202,Y,46.6,16.8748722076416,30.667089462280273,41.144168853759766,0.10933448573898012
2938301,N,34.0,10.56454054514567,30.458831787109375,43.36332321166992,0.10504201680672269
2938357,Y,156.0,15.37539291381836,24.136978149414062,35.9279899597168,0.011978136992673567
2938384,Y,59.800000000000004,12.771551609039307,24.51706314086914,36.167457580566406,0.007036059806508356
2938432,Y,105.0,18.511064052581787,35.430843353271484,46.33574676513672,0.26628771316134675
2938457,Y,63.7,35.117244720458984,44.50201416015625,50.82731628417969,0.7786885245901639
2938478,Y,105.5,24.636356353759766,36.0907096862793,48.48429870605469,0.27038183694530443
2938551,N,10.0,14.648386001586914,23.457019805908203,37.246917724609375,0.01871345029239766
2938668,Y,92.7,29.084362030029297,41.0348014831543,57.03169631958008,0.5370244102004637
2938678,Y,30.5,32.88642501831055,42.82487487792969,54.1609992980957,0.6747553816046967
2938701,Y,38.1,11.413519859313965,19.337133407592773,30.962196350097656,0.0017500875043752187
2938707,Y,92.9,24.672170639038086,36.46331024169922,63.14347839355469,0.2772087067861716
2938794,N,10.0,19.230896949768066,28.963346481323242,32.96482849121094,0.0663265306122449
2938795,N,36.5,12.489605903625488,21.94095802307129,31.09817123413086,0.0022900763358778627
2938901,Y,59.0,10.686463356018066,19.133712768554688,37.4422492980957,0.008692852543464262
2938920,N,15.0,17.558300971984863,37.54226303100586,43.39681625366211,0.37668161434977576
2939019,Y,87.4,27.50710678100586,40.84285354614258,55.18745803833008,0.4390199963970456
2939025,N,37.0,1.3932281732559204,2.2022078037261963,3.447232723236084,0.0
2939134,N,13.5,10.476507663726807,16.608699798583984,24.201927185058594,0.0
2939181,N,60.0,6.337479591369629,11.436614036560059,36.29477310180664,0.02066340402392605
2939301,Y,50.300000000000004,26.951034545898438,37.12952423095703,45.09324264526367,0.39628961607833035
2939315,N,48.0,12.939478874206543,23.927249908447266,38.50392532348633,0.03447075208913649
2939372,N,145.0,3.903296709060669,7.164613246917725,24.17046356201172,0.0
2939406,Y,18.5,21.869144439697266,35.54594802856445,52.55520248413086,0.21132669113791294
2939487,Y,54.0,23.967226028442383,36.459598541259766,55.526084899902344,0.24569488236720835
2939531,Y,463.0,8.589081883430481,25.08029556274414,39.828147888183594,0.006539569940146309
2939582,N,72.0,13.67972469329834,24.42467498779297,41.62140655517578,0.02725143708750266
2939589,Y,68.7,23.62492561340332,36.71885299682617,51.02778244018555,0.3093697579678888
2939602,N,31.0,4.524475932121277,8.423576354980469,12.724227905273438,0.0
2939664,N,45.0,1.20888352394104,1.9664080142974854,2.5437746047973633,0.0
2939680,N,38.0,4.377176761627197,10.83304214477539,16.955829620361328,0.0
2939703,N,26.0,11.444711685180664,25.464603424072266,32.99317932128906,0.020563594821020565
2939728,Y,20.0,8.60856282711029,30.779300689697266,43.803855895996094,0.11583924349881797
2939789,N,12.0,8.102298736572266,16.092666625976562,23.627246856689453,0.0
2939797,Y,78.5,33.660457611083984,44.06373977661133,57.110870361328125,0.7153075822603719
2939804,Y,28.2,22.271726608276367,30.90627098083496,41.2990837097168,0.1296969696969697
2939877,Y,41.2,16.60580825805664,25.951459884643555,38.954586029052734,0.042827298050139274
2939942,N,20.0,2.472254991531372,4.66312837600708,7.665797233581543,0.0
2939944,Y,69.2,8.381223678588867,17.52829360961914,34.74098205566406,0.0025652633167345708
2939976,Y,42.0,23.962928771972656,36.564544677734375,44.04262161254883,0.3381805884342239
2939977,Y,24.0,25.729000091552734,39.87107849121094,50.2476692199707,0.3706484641638225
2939992,N,10.0,14.838297843933105,28.693632125854492,35.31783676147461,0.06462035541195477
2940012,Y,164.0,20.57756519317627,38.34252166748047,56.613037109375,0.2995669365467897
2940013,Y,178.4,12.515648408369584,29.23482894897461,41.824832916259766,0.07553956834532374
2940060,Y,87.7,35.73199144999186,46.526859283447266,50.71928024291992,1.0
2940068,N,7.9,5.833441257476807,7.980604648590088,10.148324966430664,0.0
2940152,Y,90.0,16.543107986450195,27.816268920898438,40.121238708496094,0.06463195691202872
2940212,Y,48.9,13.484904289245605,23.933013916015625,37.30935287475586,0.027419354838709678
2940217,N,60.0,5.298080921173096,15.542525291442871,46.37835693359375,0.01373825018076645
