x,y,height_m,height_then_m,growth_m,cai_m_yr,stand_x,stand_y,in_target,leave_tree,harvest
364003.5,6686499.5,28.43000030517578,26.3700008392334,2.059999465942383,0.17166662216186523,364000,6686400,False,False,False
364016.5,6686499.5,30.899999618530273,23.690000534057617,7.209999084472656,0.6008332570393881,364000,6686400,False,False,False
364028.5,6686499.5,30.0,28.229999542236328,1.7700004577636719,0.14750003814697266,364000,6686400,False,False,False
364039.5,6686499.5,29.68000030517578,25.290000915527344,4.3899993896484375,0.3658332824707031,364000,6686400,False,False,False
364048.5,6686499.5,27.09000015258789,23.860000610351562,3.229999542236328,0.26916662851969403,364000,6686400,False,False,False
364063.5,6686499.5,31.850000381469727,25.790000915527344,6.059999465942383,0.5049999554951986,364000,6686400,False,False,False
364079.5,6686499.5,32.72999954223633,32.099998474121094,0.6300010681152344,0.05250008900960287,364000,6686400,False,False,False
364125.5,6686499.5,34.72999954223633,31.670000076293945,3.059999465942383,0.25499995549519855,364100,6686400,False,False,False
364178.5,6686499.5,31.959999084472656,29.709999084472656,2.25,0.1875,364100,6686400,False,False,False
364188.5,6686499.5,31.229999542236328,28.649999618530273,2.5799999237060547,0.21499999364217123,364100,6686400,False,False,False
364227.5,6686499.5,29.90999984741211,23.31999969482422,6.590000152587891,0.5491666793823242,364200,6686400,False,False,False
364242.5,6686499.5,29.90999984741211,25.969999313354492,3.940000534057617,0.32833337783813477,364200,6686400,False,False,False
364259.5,6686499.5,19.610000610351562,9.260000228881836,10.350000381469727,0.8625000317891439,364200,6686400,False,False,False
364271.5,6686499.5,20.350000381469727,9.119999885559082,11.230000495910645,0.9358333746592203,364200,6686400,False,False,False
364291.5,6686499.5,15.0600004196167,9.4399995803833,5.620000839233398,0.4683334032694499,364200,6686400,False,False,False
364345.5,6686499.5,21.479999542236328,14.350000381469727,7.129999160766602,0.5941665967305502,364300,6686400,False,False,False
364373.5,6686499.5,5.25,0.0,5.25,0.4375,364300,6686400,False,False,False
364390.5,6686499.5,10.800000190734863,9.020000457763672,1.7799997329711914,0.14833331108093262,364300,6686400,False,False,False
364435.5,6686499.5,21.579999923706055,21.389999389648438,0.1900005340576172,0.015833377838134766,364400,6686400,False,False,False
364442.5,6686499.5,23.260000228881836,21.110000610351562,2.1499996185302734,0.1791666348775228,364400,6686400,False,False,False
364493.5,6686499.5,25.209999084472656,21.31999969482422,3.8899993896484375,0.32416661580403644,364400,6686400,False,False,False
364634.5,6686499.5,28.239999771118164,25.65999984741211,2.5799999237060547,0.21499999364217123,364600,6686400,True,False,True
364659.5,6686499.5,24.90999984741211,21.899999618530273,3.010000228881836,0.25083335240681964,364600,6686400,True,False,True
364707.5,6686499.5,9.890000343322754,9.0600004196167,0.8299999237060547,0.06916666030883789,364700,6686400,False,False,False
364920.5,6686499.5,6.800000190734863,4.449999809265137,2.3500003814697266,0.1958333651224772,364900,6686400,False,False,False
364932.5,6686499.5,21.770000457763672,20.309999465942383,1.460000991821289,0.12166674931844075,364900,6686400,False,False,False
364961.5,6686499.5,10.869999885559082,6.679999828338623,4.190000057220459,0.34916667143503827,364900,6686400,False,False,False
364987.5,6686499.5,11.420000076293945,4.110000133514404,7.309999942779541,0.609166661898295,364900,6686400,False,False,False
364115.5,6686498.5,28.350000381469727,27.010000228881836,1.3400001525878906,0.11166667938232422,364100,6686400,False,False,False
364361.5,6686498.5,21.170000076293945,13.359999656677246,7.810000419616699,0.6508333683013916,364300,6686400,False,False,False
364574.5,6686498.5,29.639999389648438,27.0,2.6399993896484375,0.21999994913736978,364500,6686400,True,True,False
364596.5,6686498.5,27.520000457763672,26.610000610351562,0.9099998474121094,0.07583332061767578,364500,6686400,True,False,True
364101.5,6686497.5,31.469999313354492,28.280000686645508,3.1899986267089844,0.26583321889241535,364100,6686400,False,False,False
364217.5,6686497.5,30.170000076293945,22.989999771118164,7.180000305175781,0.5983333587646484,364200,6686400,False,False,False
364334.5,6686497.5,21.059999465942383,15.1899995803833,5.869999885559082,0.4891666571299235,364300,6686400,False,False,False
364457.5,6686497.5,5.420000076293945,4.849999904632568,0.570000171661377,0.047500014305114746,364400,6686400,False,False,False
364538.5,6686497.5,25.610000610351562,24.100000381469727,1.510000228881836,0.12583335240681967,364500,6686400,True,False,True
364585.5,6686497.5,27.799999237060547,26.309999465942383,1.489999771118164,0.12416664759318034,364500,6686400,True,False,True
