stand_x,stand_y,n_stems,mean_h,max_h,mean_cai,dom_h,forest_frac,flat_frac,forest_ha,stems_per_ha,age_est,mai,cai,cai_pct,slowness,maturity_pct,priority,ready
364600,6686400,62,27.80709683510565,32.47999954223633,0.16934141036002867,27.80709683510565,0.9436,0.0268,0.9436,65.70580754557015,181.39404920061588,0.1532966321533068,0.16934141036002867,0.0975609756097561,0.9024390243902439,0.9878048780487805,0.9408536585365854,False
364400,6685900,66,25.14499990867846,35.099998474121094,0.052411609827870076,25.14499990867846,0.9157,0.0116,0.9157,72.0760074260129,127.4865105658927,0.19723655308364577,0.052411609827870076,0.012195121951219513,0.9878048780487805,0.8658536585365854,0.9329268292682927,True
364100,6686100,68,24.56926472046796,34.25,0.13931372235803044,24.56926472046796,0.9012,0.0081,0.9012,75.4549489569463,115.62057696544198,0.21249906690754108,0.13931372235803044,0.06097560975609756,0.9390243902439024,0.8414634146341463,0.8951219512195122,True
364600,6685900,54,27.433518515692818,34.869998931884766,0.2366975251539254,27.433518515692818,0.9926,0.0,0.9926,54.402579085230705,181.39404920061588,0.15123714717538636,0.2366975251539254,0.2073170731707317,0.7926829268292683,0.975609756097561,0.875,False
364300,6686100,55,25.116181867772884,35.150001525878906,0.2219090902444088,25.116181867772884,0.9025,0.0001,0.9025,60.94182825484765,126.81062319434885,0.19806055072594386,0.2219090902444088,0.15853658536585366,0.8414634146341463,0.8536585365853658,0.8469512195121951,False
364500,6686400,68,26.03279416701373,30.190000534057617,0.23985295435961554,26.03279416701373,0.9373,0.0515,0.9373,72.54881041288809,155.97210909708113,0.16690672657898237,0.23985295435961554,0.21951219512195122,0.7804878048780488,0.926829268292683,0.8463414634146342,False
364000,6686200,62,28.07209671697309,35.529998779296875,0.264341394106547,28.07209671697309,0.9589,0.0024,0.9589,64.65741996037126,181.39404920061588,0.15475753940486917,0.264341394106547,0.2804878048780488,0.7195121951219512,1.0,0.8457317073170731,False
364000,6686300,73,24.46863017670096,34.290000915527344,0.21952054707427002,24.46863017670096,0.9794,0.0057,0.9794,74.53542985501328,113.83679802815868,0.21494482101164156,0.21952054707427002,0.14634146341463414,0.8536585365853658,0.8170731707317073,0.8371951219512195,False
364200,6686200,62,25.748387090621456,34.689998626708984,0.24126344350396947,25.748387090621456,0.9504,0.0024,0.9504,65.23569023569023,144.70998659878356,0.1779309617518678,0.24126344350396947,0.23170731707317074,0.7682926829268293,0.8902439024390244,0.8231707317073171,False
364500,6685900,57,22.262456157751252,35.22999954223633,0.12285087858898598,22.262456157751252,0.8833,0.0062,0.8833,64.53073700894373,86.13276040597759,0.25846676749728603,0.12285087858898598,0.036585365853658534,0.9634146341463414,0.5975609756097561,0.7987804878048781,True
364100,6686200,57,26.85684210794014,35.77000045776367,0.27947368817022666,26.85684210794014,0.958,0.0021,0.958,59.49895615866389,181.39404920061588,0.1480580108680266,0.27947368817022666,0.34146341463414637,0.6585365853658536,0.9634146341463414,0.7957317073170731,False
364700,6686300,30,22.59099998474121,29.950000762939453,0.21033331553141277,22.59099998474121,0.571,0.2378,0.571,52.53940455341507,89.32705858728937,0.25290209195308433,0.21033331553141277,0.13414634146341464,0.8658536585365854,0.6829268292682927,0.7835365853658538,True
364200,6686300,62,25.66000004737608,34.79999923706055,0.27533602842720606,25.66000004737608,0.9642,0.001,0.9642,64.30201203069903,141.72618041335508,0.1810533521226407,0.27533602842720606,0.3170731707317073,0.6829268292682926,0.8780487804878049,0.7707317073170732,False
364000,6686400,76,22.8924999362544,32.72999954223633,0.2359758662550073,22.8924999362544,0.9448,0.0047,0.9448,80.4403048264183,92.46991483545659,0.24756700573359366,0.2359758662550073,0.18292682926829268,0.8170731707317074,0.7073170731707317,0.7676829268292684,True
364100,6686400,75,22.964399960835774,37.56999969482422,0.2362333387798733,22.964399960835774,0.9716,0.0026,0.9716,77.19226018937835,93.25269691873005,0.24625990153238467,0.2362333387798733,0.1951219512195122,0.8048780487804879,0.7195121951219512,0.7664634146341465,True
364300,6686200,53,25.987547316641177,32.9900016784668,0.28405661627931417,25.987547316641177,0.9424,0.0028,0.9424,56.23938879456706,153.97566362058691,0.1687769788132063,0.28405661627931417,0.36585365853658536,0.6341463414634146,0.9146341463414634,0.7603658536585367,False
